APthreshold.hoc:  ilow=20  istep=10  nsteps=35  verbosedata=0  useCellType=WT-2005  

Time (ms)	20 pA	30 pA	40 pA	50 pA	60 pA	70 pA	80 pA	90 pA	100 pA	110 pA	120 pA	130 pA	140 pA	150 pA	160 pA	170 pA	180 pA	190 pA	200 pA	210 pA	220 pA	230 pA	240 pA	250 pA	260 pA	270 pA	280 pA	290 pA	300 pA	310 pA	320 pA	330 pA	340 pA	350 pA	360 pA	
0.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	-60.000000	
0.100000	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	-59.999976	
0.200000	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	-59.999952	
0.300000	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	-59.999930	
0.400000	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	-59.999909	
0.500000	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	-59.999889	
0.600000	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	-59.999870	
0.700000	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	-59.999852	
0.800000	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	-59.999835	
0.900000	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	-59.999819	
1.000000	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	-59.999803	
1.100000	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	-59.999788	
1.200000	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	-59.999774	
1.300000	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	-59.999761	
1.400000	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	-59.999748	
1.500000	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	-59.999736	
1.600000	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	-59.999724	
1.700000	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	-59.999713	
1.800000	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	-59.999703	
1.900000	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	-59.999693	
2.000000	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	-59.999683	
2.100000	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	-59.999674	
2.200000	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	-59.999666	
2.300000	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	-59.999658	
2.400000	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	-59.999650	
2.500000	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	-59.999643	
2.600000	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	-59.999636	
2.700000	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	-59.999629	
2.800000	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	-59.999623	
2.900000	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	-59.999617	
3.000000	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	-59.999611	
3.100000	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	-59.999605	
3.200000	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	-59.999600	
3.300000	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	-59.999595	
3.400000	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	-59.999591	
3.500000	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	-59.999586	
3.600000	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	-59.999582	
3.700000	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	-59.999578	
3.800000	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	-59.999574	
3.900000	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	-59.999570	
4.000000	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	-59.999567	
4.100000	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	-59.999564	
4.200000	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	-59.999560	
4.300000	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	-59.999557	
4.400000	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	-59.999555	
4.500000	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	-59.999552	
4.600000	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	-59.999549	
4.700000	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	-59.999547	
4.800000	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	-59.999545	
4.900000	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	-59.999542	
5.000000	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	-59.999540	
5.100000	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	-59.999538	
5.200000	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	-59.999536	
5.300000	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	-59.999534	
5.400000	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	-59.999533	
5.500000	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	-59.999531	
5.600000	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	-59.999530	
5.700000	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	-59.999528	
5.800000	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	-59.999527	
5.900000	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	-59.999525	
6.000000	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	-59.999524	
6.100000	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	-59.999523	
6.200000	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	-59.999522	
